0;Admin;admin;admin;H;admin;0;admin@gmail.com;1/01/2001;21;10.0;No Aplica;0;0;0;Inactivo
217;Adrian;Rey;Quintanilla;H;adr.rey;L+79uxYcF?aZSZ;adr.rey@correo.net;21/11/1968;50;698.55;No Aplica;71;71;0;Disponible
129;Ainhoa;Torres;Macias;M;aintorres;VBpazwRSvF*.nC3;aintorres@email.com;28/07/1966;53;0.0;SI;7;50;1;Inactivo
418;Aitor;Serrano;Blanco;H;ait.serrano;c{9y{:AUE[z87#;ait.serrano@mail.es;23/10/1961;58;638.65;No Aplica;40;52;2;Disponible
10;Alberto;Gonzalez;Luna;H;gonzalez93;ZqiXD@Yp?Ay6+P.;gonzalez93@email.es;6/09/1973;46;532.28;No Aplica;62;50;1;Inactivo
287;Alberto;Segovia;Fernandez;H;segovia57;u#qPWqxDt7a.]Fe;segovia57@email.net;15/11/1953;65;732.79;No Aplica;30;46;3;Disponible
426;Alberto;Montoro;Carmona;H;montoro7;_RVG6R:w4}Ua49?;montoro7@email.net;13/08/1948;71;693.48;No Aplica;25;43;4;Inactivo
27;Alejandro;Duran;Fernandez;H;duran68;)!hqP_XS#{LScbw;duran68@correo.es;16/10/1941;78;130.07;No Aplica;33;71;0;Inactivo
107;Alejandro;Parejo;Domingo;H;aleparejo;7##E8T2XCd#8djC;aleparejo@mail.net;20/08/1994;25;231.76;No Aplica;43;29;4;Inactivo
191;Alejandro;Lastra;Mora;H;alejandrolastra100;8C839hy]bbBjTMU;alejandrolastra100@correo.net;15/11/1962;56;477.9;No Aplica;30;79;0;Disponible
138;Alfonso;Julian;Centeno;H;julian39;7V?5]axZ#vGPPU_;julian39@correo.net;9/07/1984;35;967.56;No Aplica;46;20;1;Disponible
179;Alfonso;Padilla;Marques;H;alfonsopadilla52;a)%LdcpufLU&QJf;alfonsopadilla52@correo.com;8/03/1948;71;617.26;No Aplica;89;87;6;Inactivo
210;Alicia;Saez;Gomez;M;alisaez;]ub*Q8&]3wDC{M3;alisaez@mail.net;19/03/1935;84;0.0;NO;3;6;0;Inactivo
453;Alicia;Berlanga;Di­az;M;alicia.berlanga;Ln4vmm3zEJbVh&Q;alicia.berlanga@correo.com;24/01/1952;67;0.0;SI;83;98;0;Disponible
53;Alvaro;Garcia;Sanchez;H;alv.garcia;+dNerBh.YYN-7Cc;alv.garcia@correo.com;3/03/1991;28;104.86;No Aplica;60;29;1;Disponible
139;Alvaro;Diaz;Valero;H;alvarodiaz;Z)#qQ&ygFg(H4*R;alvarodiaz@correo.es;13/06/1951;68;569.13;No Aplica;2;50;0;Disponible
280;Alvaro;Fernandez;Garcia;H;alvarofernandez;E3VF(rX7iH@[y#;alvarofernandez@mail.net;14/06/1977;42;76.86;No Aplica;74;6;1;Inactivo
374;Alvaro;Rodri­guez;Molina;H;rodriguez78;dzBC$uh.ba)z)p;rodriguez78@correo.net;23/02/1982;37;412.41;No Aplica;47;96;7;Disponible
247;Amparo;Plata;Berrio;M;amp.plata;jifDu5@QjxS:+_u;amp.plata@correo.es;8/01/1969;50;0.0;SI;33;80;4;Inactivo
261;Amparo;Mejias;Alarcon;M;amejias;MhuG-wwL#&LJLY7;amejias@mail.com;17/04/1943;76;0.0;NO;24;49;0;Disponible
215;Ana;Alarcon;Lujan;M;anaalarcon;mG*_(ApviPXtBST;anaalarcon@email.com;14/12/1996;22;0.0;NO;62;83;5;Inactivo
264;Ana;Fernandez;Mas;M;fernandez61;Weme[E8TBiy3am;fernandez61@correo.com;5/09/1985;34;0.0;NO;7;51;1;Inactivo
289;Ana;Marquez;Ruiz;M;anamarquez;Qc*?muqN9iHbK)m;anamarquez@correo.es;15/02/1941;78;0.0;NO;37;32;2;Disponible
427;Ana;Boix;Mesa;M;ana.boix;apyXUQJi{v4cH;ana.boix@email.com;10/10/1981;38;0.0;NO;17;92;1;Disponible
441;Ana;Fernandez;Moral;M;anafernandez;fw[Zf}Vd$S.xaHX;anafernandez@email.es;11/12/1980;38;0.0;NO;70;64;5;Inactivo
442;Ana;Alvarez;Campo;M;anaalvarez;gf(fV2Z=piFEvW;anaalvarez@correo.com;14/11/1950;68;0.0;NO;93;67;10;Disponible
365;Ana Isabel;Diez;Llop;M;andiez31;8.r7#@#:ji*x5;andiez31@mail.com;5/09/1997;22;0.0;SI;100;80;0;Inactivo
51;Ana Mari­a;Perez;Pose;M;anperez;)kxKMHuJh]W%}a;anperez@email.es;31/03/1970;49;0.0;NO;52;88;6;Disponible
58;Ana Mari­a;Andreu;Pitarch;M;andreu53;pTiXu({2#}_cLEe;andreu53@mail.net;24/04/1987;32;0.0;NO;76;76;12;Inactivo
414;Ana Mari­a;Ortiz;Sanchez;M;anortiz;$J4Xq-BwffX7n8Z;anortiz@correo.es;2/11/1992;26;0.0;NO;19;39;1;Inactivo
435;Ana Mari­a;Sanz;Recio;M;anasanz77;W5*T=zYyXd6+U;anasanz77@correo.es;27/11/1941;77;0.0;SI;48;21;1;Inactivo
133;Andrea;Fernandez;Sancho;M;andfernandez;VJh$[=M6?D)NG;andfernandez@mail.es;12/07/1974;45;0.0;SI;57;71;1;Disponible
20;Angel;Estrella;Bermejo;H;angelestrella55;uM$/]Wv8WPAGpCz;angelestrella55@email.net;11/09/1982;37;424.37;No Aplica;87;97;10;Disponible
70;Angel;Gaona;Zabala;H;angelgaona;u=)PPqwB].JY:e[;angelgaona@correo.com;29/11/1935;83;335.48;No Aplica;49;62;8;Disponible
84;Angel;Jimenez;Martin;H;angjimenez;A[GHx.xRUw/9Qrh;angjimenez@correo.com;7/07/1961;58;651.15;No Aplica;43;46;4;Inactivo
110;Angel;Rodriguez;Hernandez;H;angel.rodriguez;Nmwry:Zp-9zN}c;angel.rodriguez@email.es;6/12/1979;39;191.36;No Aplica;32;42;5;Inactivo
140;Angel;Alvarez;Heredia;H;aalvarez;%Tpc2p*vRN$qwP.;aalvarez@mail.com;26/04/1961;58;175.25;No Aplica;95;25;2;Inactivo
163;Angel;Merino;Mera;H;merino48;(KCRm_!qk&{r=F;merino48@mail.net;15/11/1978;40;67.67;No Aplica;68;76;2;Disponible
201;Angel;Gonzales;Conde;H;agonzalez;VqDh-quBt9ry]Ky;agonzalez@mail.es;27/11/1958;60;957.86;No Aplica;62;78;6;Disponible
248;Angel;Alonso;Muñoz;H;angel.alonso;y4j&ttu{[QZ7SY;angel.alonso@mail.net;6/11/1940;78;274.24;No Aplica;96;34;5;Inactivo
259;Angel;Garcia;Montero;H;garcia20;6VX3qg4u_hLTxJ;garcia20@email.es;20/03/1976;43;498.74;No Aplica;7;12;1;Inactivo
400;Angel;Arango;Alsina;H;angel.arango;.$y)bu(b!2Z2?T9;angel.arango@email.es;17/05/1951;68;543.47;No Aplica;3;93;0;Disponible
460;Angel;Santana;Pitarch;H;asantana;UXPC%fyF{$eL&Tj;asantana@correo.net;6/08/1993;26;720.12;No Aplica;53;93;5;Inactivo
385;Angela;Alvarez;Fernandez;M;angalvarez;&vpH..56J8}maM3;angalvarez@mail.net;6/02/1942;77;0.0;NO;8;73;1;Inactivo
213;Angeles;Casado;Lopez;M;a.casado;6g!*z{Sxd-Xmx}x;a.casado@email.net;30/10/1948;71;0.0;NO;94;54;8;Inactivo
337;Angeles;Gimeno;Lloret;M;angelesgimeno;Dz$qnaC!c{%:AB;angelesgimeno@email.com;23/09/2001;18;0.0;SI;100;98;5;Inactivo
160;Anna;Mera;Pizarro;M;anna.mera;PKYNy(+S?e*eSS$;anna.mera@mail.com;14/05/1983;36;0.0;NO;48;19;3;Disponible
69;Antonia;Espinosa;Rami­rez;M;ant.espinosa;&6:AAU?m6eyFJjk;ant.espinosa@email.es;25/03/1973;46;0.0;SI;92;63;8;Inactivo
90;Antonia;Fernandez;Sanchez;M;antfernandez;CK4/Bf)m3}RL!)3;antfernandez@mail.com;19/06/1968;51;0.0;SI;54;14;2;Inactivo
